Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
РегистрСведений	бпсРегистрАдресации	ЗаписьРегистра1						
				Пользователь	Администратор	Наименование		
				РольАдресации	Юрист	Наименование		
				ПодразделениеАдресации	Хабаровск	Наименование		
РегистрСведений	бпсРегистрАдресации	ЗаписьРегистра2						
				Пользователь	Администратор	Наименование		
				РольАдресации	Бухгалтер	Наименование		
				ПодразделениеАдресации	Москва	Наименование		
РегистрСведений	бпсРегистрАдресации	ЗаписьРегистра3						
				Пользователь	Администратор	Наименование		
				РольАдресации	Коммерческий директор	Наименование		
				ПодразделениеАдресации	Адыгея	Наименование		
