Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
РегистрСведений	бпсСообщения	бпсСообщения_0						
			Запись					
				ИдентификаторСообщения	123213123			
				Кому	BPS_1c23124332432@bk123.ru			
				Тема	Тест регл задания2			
				Тело	Тест регл задания2			
				ДатаСоздания	20160603141207			
РегистрСведений	бпсСообщения	бпсСообщения_1						
			Запись					
				ИдентификаторСообщения	dsf			
				Кому	BPS_1c@bk.ru			
				Тема	Тест регл задания			
				Тело	Тест регл задания			
				ДатаСоздания	20160603141207			
РегистрСведений	бпсСообщения	бпсСообщения_2						
			Запись					
				ИдентификаторСообщения	dsf232			
				Кому	BPS_1c@bk.ru			
				Тема	Тест регл задания2			
				Тело	Тест регл задания2			
				ДатаСоздания	20160603141207			
