Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Справочник	бпсПодразделенияАдресации	Подразделение_Москва						
				Наименование	Москва			
				Код	0001			
Справочник	бпсПодразделенияАдресации	Подразделение_Хабаровск						
				Наименование	Хабаровск			
				Код	0002			
Справочник	бпсПодразделенияАдресации	Подразделение_Адыгея						
				Наименование	Адыгея			
				Код	0003			
Справочник	бпсПодразделенияАдресации	Подразделение_РостовНаДону						
				Наименование	Ростов-на-Дону			
				Код	0004			
