Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения	
Справочник	бпсПредметыСогласований	ПредметСогласования_Договор						
				Наименование	Согласование договора			
				Код	0001			
				ТипОбъектаБД	Объект [Договоры контрагентов]	Наименование		
				УпрощеннаяСистемаУведомлений	Истина			
				УведомитьИнициатораОЗавершении	Истина			
				РазрешеноПовторноеСогласование	Истина			
			ОпределениеЛистаСогласования					
				КлючСтроки	1			
				РольАдресации	Юрист	Наименование		
				ПодразделениеАдресации	Хабаровск	Наименование		
			ОпределениеЛистаСогласования					
				КлючСтроки	2			
				Условие	п00000001	Код		
				РольАдресации	Бухгалтер	Наименование		
				ПодразделениеАдресации	Москва	Наименование		
			ОпределениеЛистаСогласования					
				КлючСтроки	3			
				Условие	п00000002	Код		
				РольАдресации	Коммерческий директор	Наименование		
				ПодразделениеАдресации	Адыгея	Наименование		
			Действия					
				Событие	ПередСтартом	Предопределенный		
				Действие	ЗаблокироватьОбъектБД	Предопределенный		
			Действия					
				Событие	ПриЗавершении	Предопределенный		
				Действие	РазблокироватьОбъектБД	Предопределенный		
			ПользователиДляУведомления					
				Событие	ПередСтартом	Предопределенный		
				Пользователь	Администратор	Наименование		
				УведомлятьПочтой	Истина			
				УведомлятьЗадачей	Истина			
			ПользователиДляУведомления					
				Событие	ПриВыполненииЗадачиВОчереди	Предопределенный		
				Пользователь	Администратор	Наименование		
				УведомлятьПочтой	Истина			
				УведомлятьЗадачей	Ложь			
