Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	бпсПредметыСогласований	СогласованиеДоговора					
				Ссылка	a46da8ec-58b0-11e6-a3e3-00241d83faf4		
				Наименование	Согласование договора		
				ТипОбъектаБД	Объект [Договоры контрагентов]	Наименование	
				УпрощеннаяСистемаУведомлений	Истина		
				УведомитьИнициатораОЗавершении	Истина		
				РазрешеноПовторноеСогласование	Истина		
			ОпределениеЛистаСогласования				
				КлючСтроки	7		
				Условие	ПометкаУдаления = Истина	Наименование	
				РольАдресации	Ответственный за договора	Наименование	
				ПодразделениеАдресации	Вся фирма	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	6		
				РольАдресации	Бухгалтер поставщиков	Наименование	
				ПодразделениеАдресации	Бухгалтерия	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	1		
				РольАдресации	Руководитель  по закупкам	Наименование	
				ПодразделениеАдресации	Отдел закупок	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	2		
				Условие	Условные единицы Равно "Да"	Наименование	
				РольАдресации	Юрист	Наименование	
				ПодразделениеАдресации	Юридический отдел	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	3		
				Условие	Сумма договора Больше или равно "10 000"	Наименование	
				РольАдресации	Коммерческий директор	Наименование	
				ПодразделениеАдресации	Вся фирма	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	4		
				Условие	Сумма договора Больше или равно "100 000"	Наименование	
				РольАдресации	Финансовый директор	Наименование	
				ПодразделениеАдресации	Вся фирма	Наименование	
			ОпределениеЛистаСогласования				
				КлючСтроки	5		
				Условие	Сумма договора Больше или равно "150 000"	Наименование	
				РольАдресации	Генеральный директор	Наименование	
				ПодразделениеАдресации	Вся фирма	Наименование	
			Действия				
				Событие	ПередСтартом	Предопределенный	
				Действие	ЗаблокироватьОбъектБД	Предопределенный	
			Действия				
				Событие	ПриЗавершенииЕслиНеСогласовано	Предопределенный	
				Действие	РазблокироватьОбъектБД	Предопределенный	
			Действия				
				Событие	ПриВозвращенииНаДоработку	Предопределенный	
				Действие	РазблокироватьОбъектБД	Предопределенный	
